REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX,AGE,TIME_PERIOD,OBS_VALUE
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,14.4281801716055
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,19.0168459424566
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,36.5653075160157
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,31.623201671299
ZAF,South Africa,Mobile money account,M,Y_GE15,2014,15.0296173535338
ZAF,South Africa,Mobile money account,F,Y_GE15,2014,13.888615543410198
ZAF,South Africa,Mobile money account,M,Y_GE15,2017,19.4188366461018
ZAF,South Africa,Mobile money account,F,Y_GE15,2017,18.6401766111656
ZAF,South Africa,Mobile money account,M,Y_GE15,2021,34.101094018982906
ZAF,South Africa,Mobile money account,F,Y_GE15,2021,38.9901302923146
ZAF,South Africa,Mobile money account,M,Y_GE15,2024,40.114591771186696
ZAF,South Africa,Mobile money account,F,Y_GE15,2024,24.2004247169044
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,18.1340114446757
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,8.85625694929027
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,23.623278789670703
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,12.0606668594861
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,43.352083488501705
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,26.329353954990697
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,36.711915807381104
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,22.1728992578888
ZAF,South Africa,Mobile money account,_T,Y_GE25,2014,16.3688811065005
ZAF,South Africa,Mobile money account,_T,Y15T24,2014,9.57293078996434
ZAF,South Africa,Mobile money account,_T,Y_GE25,2017,19.834255888088705
ZAF,South Africa,Mobile money account,_T,Y15T24,2017,16.915916624732898
ZAF,South Africa,Mobile money account,_T,Y_GE25,2021,38.532049706945095
ZAF,South Africa,Mobile money account,_T,Y15T24,2021,30.1025002077479
ZAF,South Africa,Mobile money account,_T,Y_GE25,2024,33.528818665805495
ZAF,South Africa,Mobile money account,_T,Y15T24,2024,25.6812745720779
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,26.8744681881245
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,36.3009271603402
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,9.82770551250966
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,20.6799331009799
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,11.2345061891989
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,28.7957872162434
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,24.5465162581293
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,48.8398659000791
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,21.9103153018412
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,44.994922724715096
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,17.563348793094498
ZAF,South Africa,Mobile money account,_T,Y_GE15,2014,6.021377807640451
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,21.7431719904262
ZAF,South Africa,Mobile money account,_T,Y_GE15,2017,12.1705810563779
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,40.3295824764985
ZAF,South Africa,Mobile money account,_T,Y_GE15,2021,24.4885990871002
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,35.528003503945
ZAF,South Africa,Mobile money account,_T,Y_GE15,2024,17.4147679476405
